Date,Beach,Attendance
2022-06-11,Cedar Grove Beach,45
2022-06-07,Midland Beach,800
2017-08-20,Wolfe's Pond Beach,125
2018-08-07,South Beach,21600
2019-06-04,Midland Beach,2800
2019-06-08,Cedar Grove Beach,175
2023-07-05,Orchard Beach,22000
2023-07-16,South Beach,707
2023-06-08,Wolfe's Pond Beach,0
2018-06-05,Rockaway Beach,3700
2021-07-03,Wolfe's Pond Beach,150
2021-07-30,Orchard Beach,27500
2022-06-20,South Beach,1100
2022-09-01,Manhattan Beach,800
2024-08-27,Rockaway Beach,18800
2017-06-01,Orchard Beach,900
2019-07-07,Rockaway Beach,61500
2019-08-29,Manhattan Beach,900
2020-09-02,Coney Island Beach,1400
2022-08-29,Midland Beach,350
2024-07-06,Wolfe's Pond Beach,600
2024-08-06,Manhattan Beach,250
2024-06-14,Rockaway Beach,10500
2024-08-02,Orchard Beach,4100
2019-08-26,Midland Beach,750
2021-08-03,Manhattan Beach,500
2022-07-10,Rockaway Beach,109100
2022-08-08,Coney Island Beach,69800
2022-08-28,Orchard Beach,35000
2022-08-01,Wolfe's Pond Beach,75
2024-08-03,Midland Beach,2300
2017-07-29,Rockaway Beach,167000
2018-06-30,Orchard Beach,63000
2019-08-05,Coney Island Beach,5500
2021-07-31,Midland Beach,9690
2022-08-24,Cedar Grove Beach,270
2023-07-09,Manhattan Beach,2450
2024-07-13,Coney Island Beach,21000
2018-07-28,Midland Beach,10550
2019-06-14,South Beach,1150
2020-07-05,Manhattan Beach,2400
2021-06-11,Rockaway Beach,2900
2021-07-10,Coney Island Beach,225000
2023-07-06,Midland Beach,1434
2023-08-30,Wolfe's Pond Beach,120
2024-07-29,Cedar Grove Beach,325
2017-09-08,South Beach,2150
2018-08-28,Midland Beach,500
2020-07-07,Orchard Beach,5767
2021-08-23,Rockaway Beach,0
2023-08-25,Manhattan Beach,200
2023-08-30,Cedar Grove Beach,67
2024-06-15,Midland Beach,2000
2018-07-03,Orchard Beach,28000
2018-07-13,Coney Island Beach,88500
2021-06-12,Midland Beach,850
2021-07-22,South Beach,4440
2024-08-26,Rockaway Beach,15500
2017-05-31,Wolfe's Pond Beach,35
2017-07-30,Midland Beach,2000
2020-07-25,Rockaway Beach,145000
2022-06-15,Orchard Beach,4600
2022-07-27,Manhattan Beach,575
2022-08-01,Cedar Grove Beach,27
2017-06-14,Coney Island Beach,7500
2019-07-05,Midland Beach,1350
2019-08-01,Orchard Beach,1525
2020-06-03,Wolfe's Pond Beach,45
2022-08-20,South Beach,2300
2023-07-29,Rockaway Beach,160000
2023-06-30,South Beach,1772
2024-07-01,Manhattan Beach,800
2024-07-06,Cedar Grove Beach,302
2017-08-26,Orchard Beach,97000
2018-06-07,Rockaway Beach,7500
2018-06-29,Wolfe's Pond Beach,280
2019-08-14,Coney Island Beach,3000
2020-06-20,South Beach,4700
2020-08-23,Cedar Grove Beach,500
2021-09-03,Midland Beach,985
2023-07-14,Orchard Beach,1950
2023-06-07,Wolfe's Pond Beach,4
2024-07-22,Coney Island Beach,6000
2017-08-15,Manhattan Beach,1300
2017-08-20,Cedar Grove Beach,190
2018-07-16,South Beach,1550
2021-07-02,Wolfe's Pond Beach,150
2021-07-19,Coney Island Beach,67000
2021-08-08,Orchard Beach,25800
2023-06-03,Manhattan Beach,650
2023-08-09,Midland Beach,975
2023-06-08,Cedar Grove Beach,0
2017-09-05,Coney Island Beach,160
2019-07-21,Manhattan Beach,9000
2019-07-26,Cedar Grove Beach,235
2019-07-28,Wolfe's Pond Beach,900
2022-05-29,South Beach,4100
2023-06-24,Coney Island Beach,21500
2024-08-11,Orchard Beach,56300
2017-08-22,Wolfe's Pond Beach,110
2019-08-14,South Beach,800
2020-06-20,Coney Island Beach,59000
2021-06-30,Cedar Grove Beach,550
2022-07-11,Midland Beach,320
2022-07-31,Wolfe's Pond Beach,250
2022-09-06,Orchard Beach,200
2018-06-22,Manhattan Beach,30
2018-06-27,Cedar Grove Beach,60
2020-08-25,Wolfe's Pond Beach,1200
2021-06-13,Rockaway Beach,42000
2024-07-16,South Beach,880
2024-08-25,Midland Beach,2860
2017-06-13,Orchard Beach,3500
2018-08-29,Rockaway Beach,70000
2020-05-27,Manhattan Beach,530
2020-06-01,Cedar Grove Beach,95
2021-08-22,Midland Beach,0
2024-07-08,Wolfe's Pond Beach,600
2024-06-16,Rockaway Beach,68000
2017-05-29,Cedar Grove Beach,0
2019-07-06,Rockaway Beach,35000
2023-07-28,Midland Beach,2029
2017-06-17,South Beach,2750
2017-07-31,Rockaway Beach,91500
2020-07-24,Midland Beach,185
2022-08-17,Coney Island Beach,8250
2023-09-09,South Beach,355
2017-06-09,Wolfe's Pond Beach,225
2018-07-25,Coney Island Beach,3825
2021-07-10,South Beach,2200
2021-09-07,Manhattan Beach,2000
2021-09-12,Cedar Grove Beach,0
2022-06-24,Orchard Beach,1700
2023-08-10,Rockaway Beach,3000
2023-09-01,Wolfe's Pond Beach,116
2018-06-06,Midland Beach,725
2019-08-05,South Beach,1450
2020-06-29,Coney Island Beach,82200
2020-07-19,Orchard Beach,58892
2021-09-04,Rockaway Beach,52500
2023-08-13,Manhattan Beach,7000
2023-08-18,Cedar Grove Beach,165
2017-06-26,Coney Island Beach,5200
2018-07-15,Orchard Beach,8700
2020-08-09,Manhattan Beach,5500
2022-07-12,Rockaway Beach,11200
2022-08-08,South Beach,1050
2023-06-18,South Beach,1811
2024-06-01,Orchard Beach,31500
2019-06-01,Coney Island Beach,56000
2020-09-02,South Beach,950
2021-08-17,Orchard Beach,1500
2022-07-20,Cedar Grove Beach,272
2022-07-15,Manhattan Beach,1050
2019-08-13,Orchard Beach,40
2021-07-31,Coney Island Beach,183500
2022-06-18,Rockaway Beach,25000
2022-07-10,Wolfe's Pond Beach,320
2023-07-12,South Beach,1935
2024-06-24,Cedar Grove Beach,295
2020-07-13,Rockaway Beach,7300
2020-08-04,Wolfe's Pond Beach,0
2021-06-21,Cedar Grove Beach,100
2023-07-26,Orchard Beach,5500
2023-07-06,Coney Island Beach,32000
2017-08-08,Cedar Grove Beach,250
2019-08-23,Coney Island Beach,2500
2023-08-08,Wolfe's Pond Beach,99
2023-05-27,Cedar Grove Beach,200
2024-08-09,South Beach,350
2024-08-16,Midland Beach,1045
2019-06-15,Rockaway Beach,68000
2019-07-14,Cedar Grove Beach,450
2021-09-02,Wolfe's Pond Beach,135
2022-06-07,Coney Island Beach,832
2022-09-04,South Beach,1250
2023-09-06,Manhattan Beach,700
2024-08-23,Orchard Beach,4100
2019-08-26,South Beach,1150
2019-09-06,Rockaway Beach,850
2022-06-29,Midland Beach,765
2024-09-05,Wolfe's Pond Beach,0
2018-06-15,Cedar Grove Beach,75
2018-08-16,Midland Beach,6000
2019-05-31,Orchard Beach,1500
2022-09-09,Rockaway Beach,31800
2024-06-03,Midland Beach,1425
2017-06-25,Orchard Beach,81000
2018-08-08,Rockaway Beach,14800
2021-05-31,Midland Beach,810
2022-08-29,Coney Island Beach,7825
2023-07-17,Rockaway Beach,102000
2024-07-13,Manhattan Beach,750
2017-07-18,Midland Beach,1600
2018-06-17,Wolfe's Pond Beach,875
2020-08-30,Manhattan Beach,8900
2021-06-07,Orchard Beach,5103
2021-08-11,Rockaway Beach,53500
2024-08-03,Coney Island Beach,9500
2017-06-29,South Beach,1000
2017-08-27,Manhattan Beach,600
2018-07-24,Orchard Beach,1700
2020-07-11,Coney Island Beach,7000
2020-07-12,Midland Beach,7500
2021-06-20,Wolfe's Pond Beach,5400
2022-06-07,South Beach,1000
2023-06-15,Manhattan Beach,750
2024-09-03,Cedar Grove Beach,0
2024-06-10,Orchard Beach,2000
2017-07-08,Coney Island Beach,125000
2019-07-16,Wolfe's Pond Beach,280
2019-08-02,Manhattan Beach,750
2020-07-02,South Beach,2150
2021-08-31,Cedar Grove Beach,125
2022-06-16,Coney Island Beach,450
2022-06-17,Midland Beach,1200
2022-07-06,Orchard Beach,3800
2017-08-10,Wolfe's Pond Beach,85
2018-07-28,South Beach,12200
2019-06-13,Coney Island Beach,1500
2019-06-14,Midland Beach,1030
2020-07-31,Orchard Beach,1050
2021-07-07,Manhattan Beach,2200
2023-05-29,Wolfe's Pond Beach,56
2023-08-06,Cedar Grove Beach,325
2018-05-26,Rockaway Beach,208000
2018-07-04,Manhattan Beach,37000
2020-08-02,Cedar Grove Beach,75
2020-08-13,Wolfe's Pond Beach,35
2021-07-31,South Beach,13430
2023-08-04,Orchard Beach,2500
2024-08-17,Rockaway Beach,18000
2020-06-08,Manhattan Beach,1075
2021-08-29,Orchard Beach,11100
2022-07-08,Cedar Grove Beach,120
2022-09-08,Midland Beach,185
2023-07-18,Coney Island Beach,12400
2024-06-26,Wolfe's Pond Beach,300
2024-06-04,Rockaway Beach,22000
2017-06-05,Manhattan Beach,680
2019-07-05,Cedar Grove Beach,170
2019-09-04,Coney Island Beach,7200
2019-09-05,Midland Beach,725
2022-06-30,Rockaway Beach,29000
2022-07-22,Wolfe's Pond Beach,210
2024-06-12,Cedar Grove Beach,245
2024-07-28,South Beach,2380
2017-07-19,Rockaway Beach,27500
2021-06-09,Cedar Grove Beach,180
2021-08-09,Coney Island Beach,42000
2021-08-10,Midland Beach,1310
2017-07-27,Cedar Grove Beach,70
2018-08-06,Coney Island Beach,39000
2018-08-07,Midland Beach,33000
2019-06-04,South Beach,1700
2021-06-01,Rockaway Beach,6700
2023-07-16,Midland Beach,600
2023-08-20,Wolfe's Pond Beach,421
2019-07-30,Rockaway Beach,54700
2019-08-21,Wolfe's Pond Beach,165
2021-06-02,South Beach,520
2021-08-05,Cedar Grove Beach,30
2024-09-04,Orchard Beach,500
2024-07-29,Wolfe's Pond Beach,200
2017-08-24,Rockaway Beach,25000
2019-06-28,South Beach,2900
2022-08-02,Rockaway Beach,93500
2022-08-24,Wolfe's Pond Beach,156
2022-09-10,Coney Island Beach,76500
2023-07-07,Midland Beach,1524
2023-07-11,Cedar Grove Beach,204
2018-07-01,Rockaway Beach,265000
2019-06-12,Orchard Beach,1500
2019-08-24,Midland Beach,3100
2020-07-07,Cedar Grove Beach,70
2022-07-01,South Beach,2100
2023-06-09,Rockaway Beach,15000
2024-08-15,Coney Island Beach,13900
2024-08-20,Manhattan Beach,425
2017-07-07,Orchard Beach,6550
2020-07-26,South Beach,5800
2021-07-04,Rockaway Beach,128000
2021-07-29,Midland Beach,1590
2022-06-12,Cedar Grove Beach,50
2017-07-20,Coney Island Beach,100000
2018-05-27,South Beach,400
2018-07-30,Cedar Grove Beach,50
2021-06-19,Orchard Beach,32500
2022-06-28,Coney Island Beach,5900
2023-07-23,Manhattan Beach,4500
2018-08-05,Orchard Beach,88500
2019-06-08,Wolfe's Pond Beach,650
2019-06-25,Coney Island Beach,5850
2024-06-22,Orchard Beach,55500
2017-07-01,Cedar Grove Beach,435
2017-07-03,Wolfe's Pond Beach,3000
2020-08-27,Rockaway Beach,14500
2021-05-30,Coney Island Beach,230
2021-08-14,Manhattan Beach,2300
2022-07-18,Orchard Beach,400
2017-07-20,South Beach,8000
2018-05-27,Coney Island Beach,1515
2018-08-11,Manhattan Beach,110
2019-06-06,Cedar Grove Beach,75
2019-09-03,Orchard Beach,550
2020-07-06,Wolfe's Pond Beach,200
2020-08-12,Orchard Beach,2091
2024-07-10,Rockaway Beach,2750
2024-08-21,South Beach,900
2024-05-29,Manhattan Beach,475
2024-08-04,Midland Beach,500
2018-08-01,Wolfe's Pond Beach,205
2020-07-16,Manhattan Beach,1650
2021-08-12,South Beach,3750
2023-08-16,Orchard Beach,1000
2017-07-13,Manhattan Beach,100
2019-09-07,South Beach,1500
2021-08-21,Coney Island Beach,68000
2021-09-10,Orchard Beach,4000
2022-06-21,Manhattan Beach,165
2022-06-14,Wolfe's Pond Beach,81
2017-06-11,Rockaway Beach,157000
2018-08-18,Coney Island Beach,77500
2019-06-18,Manhattan Beach,75
2019-08-30,Wolfe's Pond Beach,160
2023-07-27,Coney Island Beach,86700
2023-07-21,South Beach,1550
2020-07-23,Coney Island Beach,3000
2022-08-22,Cedar Grove Beach,30
2022-08-18,Midland Beach,600
2023-07-13,Wolfe's Pond Beach,153
2018-07-26,Midland Beach,1600
2019-06-16,South Beach,4600
2019-08-19,Cedar Grove Beach,195
2020-05-30,Orchard Beach,6296
2021-07-16,Rockaway Beach,60500
2021-08-07,Wolfe's Pond Beach,3300
2024-07-27,Cedar Grove Beach,605
2017-07-11,South Beach,2800
2018-05-26,Orchard Beach,11000
2018-06-05,Coney Island Beach,3800
2019-08-11,Rockaway Beach,79000
2020-06-30,Midland Beach,850
2021-07-24,Cedar Grove Beach,350
2022-06-19,South Beach,2200
2024-07-19,Rockaway Beach,38000
2024-08-10,Wolfe's Pond Beach,475
2024-08-27,Coney Island Beach,17500
2017-06-27,Midland Beach,650
2020-06-17,Rockaway Beach,6900
2020-07-14,South Beach,2350
2022-06-05,Midland Beach,5500
2022-09-03,Manhattan Beach,5500
2022-09-05,Wolfe's Pond Beach,200
2023-06-29,Cedar Grove Beach,300
2017-09-02,Rockaway Beach,700
2018-08-09,South Beach,5000
2019-06-02,Midland Beach,6700
2019-06-24,Orchard Beach,7000
2020-06-25,Cedar Grove Beach,50
2023-06-21,Rockaway Beach,4000
2024-08-08,Manhattan Beach,75
2024-05-27,South Beach,750
2017-07-19,Orchard Beach,9550
2019-07-07,Coney Island Beach,81000
2020-05-24,Rockaway Beach,2748
2020-06-15,Wolfe's Pond Beach,80
2020-08-07,South Beach,4300
2022-05-31,Cedar Grove Beach,125
2023-06-06,Orchard Beach,1100
2024-06-14,Coney Island Beach,3800
2024-06-19,Manhattan Beach,4600
2018-06-19,Rockaway Beach,25300
2018-07-11,Wolfe's Pond Beach,165
2018-07-14,Midland Beach,35000
2019-05-28,Cedar Grove Beach,90
2021-06-11,Coney Island Beach,3500
2021-06-16,Manhattan Beach,525
2021-07-01,Orchard Beach,1250
2023-06-19,Wolfe's Pond Beach,345
2024-06-20,South Beach,1550
2017-07-29,Coney Island Beach,190000
2017-08-03,Manhattan Beach,950
2018-08-17,Orchard Beach,4500
2020-06-18,Midland Beach,600
2021-07-14,Wolfe's Pond Beach,2800
2021-09-05,South Beach,6650
2024-07-04,Orchard Beach,97000
2024-09-07,Rockaway Beach,2600
2017-06-15,Midland Beach,375
2017-06-19,Cedar Grove Beach,75
2019-08-09,Wolfe's Pond Beach,245
2022-07-30,Orchard Beach,25200
2024-07-17,Wolfe's Pond Beach,175
2017-08-01,South Beach,700
2017-08-12,Rockaway Beach,137000
2020-08-24,Orchard Beach,4976
2021-09-02,Coney Island Beach,500
2022-08-12,Wolfe's Pond Beach,135
2023-05-31,Rockaway Beach,7500
2024-07-23,Midland Beach,700
2018-06-10,Manhattan Beach,400
2018-08-30,Coney Island Beach,62100
2020-08-15,Rockaway Beach,137000
2020-09-06,Wolfe's Pond Beach,5100
2021-06-14,South Beach,950
2023-08-28,Orchard Beach,650
2023-08-08,Coney Island Beach,21500
2017-09-06,Midland Beach,650
2018-08-30,South Beach,6950
2020-08-04,Coney Island Beach,0
2021-06-22,Rockaway Beach,1050
2023-06-25,Midland Beach,1170
2023-09-10,Wolfe's Pond Beach,0
2024-07-18,Cedar Grove Beach,210
2019-07-18,Rockaway Beach,11000
2019-08-12,Midland Beach,1600
2020-09-04,Cedar Grove Beach,480
2022-07-10,Coney Island Beach,120550
2022-07-13,South Beach,1400
2017-09-01,Cedar Grove Beach,10
2018-06-17,Coney Island Beach,85000
2019-05-27,Wolfe's Pond Beach,280
2022-08-10,Cedar Grove Beach,175
2022-08-06,Midland Beach,2350
2017-06-21,Wolfe's Pond Beach,90
2018-06-08,South Beach,1750
2019-08-07,Cedar Grove Beach,30
2020-06-11,Orchard Beach,135
2021-08-26,Manhattan Beach,2100
2023-08-22,Rockaway Beach,58300
2024-07-11,Midland Beach,635
2024-08-30,South Beach,1050
2018-06-07,Orchard Beach,971
2018-08-23,Manhattan Beach,800
2021-07-08,Midland Beach,840
2021-07-12,Cedar Grove Beach,10
2023-08-01,Manhattan Beach,1300
2024-06-28,Rockaway Beach,18000
2017-08-25,Midland Beach,7700
2018-07-09,Cedar Grove Beach,300
2018-07-20,Wolfe's Pond Beach,160
2019-07-07,South Beach,5700
2020-07-28,Manhattan Beach,900
2021-07-10,Orchard Beach,29500
2022-07-24,Rockaway Beach,150000
2023-06-13,Midland Beach,340
2023-06-17,Cedar Grove Beach,204
2024-09-05,Coney Island Beach,8000
2018-08-21,South Beach,1400
2019-07-06,Orchard Beach,15800
2020-06-13,Cedar Grove Beach,390
2021-06-23,Coney Island Beach,40000
2022-06-02,Wolfe's Pond Beach,67
2022-07-03,Manhattan Beach,8500
2024-06-08,South Beach,2680
2017-08-10,Coney Island Beach,16000
2019-06-30,Manhattan Beach,2100
2020-06-05,Rockaway Beach,5000
2020-06-27,Wolfe's Pond Beach,80
2021-08-24,South Beach,3790
2023-06-18,Orchard Beach,60500
2023-05-29,Coney Island Beach,161000
2024-06-07,Manhattan Beach,500
2019-07-16,Coney Island Beach,12000
2020-09-02,Orchard Beach,658
2021-06-04,Manhattan Beach,150
2023-09-04,Midland Beach,1989
2023-07-01,Wolfe's Pond Beach,230
2017-07-22,Manhattan Beach,3800
2018-08-29,Orchard Beach,79000
2020-08-31,Midland Beach,1700
2021-07-26,Wolfe's Pond Beach,2500
2023-08-02,South Beach,1045
2024-07-16,Orchard Beach,17000
2019-07-12,Cedar Grove Beach,155
2019-08-11,Wolfe's Pond Beach,700
2020-05-29,Rockaway Beach,4500
2022-05-31,Manhattan Beach,1250
2022-08-11,Orchard Beach,650
2022-09-06,South Beach,140
2023-08-20,Coney Island Beach,130000
2024-06-19,Cedar Grove Beach,360
2017-08-14,Rockaway Beach,3000
2017-09-05,Wolfe's Pond Beach,0
2018-07-18,Manhattan Beach,2100
2019-06-18,South Beach,325
2020-08-16,Coney Island Beach,400
2021-06-16,Cedar Grove Beach,170
2022-09-06,Midland Beach,75
2023-06-02,Rockaway Beach,50000
2023-06-24,Wolfe's Pond Beach,120
2017-07-13,South Beach,450
2018-06-13,Cedar Grove Beach,25
2021-07-19,Wolfe's Pond Beach,1800
2022-07-22,Coney Island Beach,40500
2023-09-09,Orchard Beach,2300
2024-08-11,Midland Beach,1950
2017-06-19,Manhattan Beach,350
2024-06-26,Coney Island Beach,23000
2024-07-22,Wolfe's Pond Beach,200
2017-07-16,Midland Beach,2200
2018-06-16,Orchard Beach,66257
2019-05-25,Manhattan Beach,600
2019-08-31,South Beach,6300
2020-06-03,Coney Island Beach,3000
2022-06-24,Midland Beach,450
2022-07-26,Rockaway Beach,4400
2022-08-17,Wolfe's Pond Beach,125
2017-05-31,Coney Island Beach,2300
2019-06-21,Midland Beach,260
2020-08-20,Rockaway Beach,11000
2022-05-29,Orchard Beach,35000
2023-07-14,South Beach,963
2024-09-01,Cedar Grove Beach,150
2020-06-23,Orchard Beach,7145
2021-06-27,Rockaway Beach,63800
2023-09-08,Manhattan Beach,270
2017-08-09,Orchard Beach,9900
2019-07-23,Rockaway Beach,2850
2020-09-04,Manhattan Beach,500
2023-06-27,Orchard Beach,377
2023-08-04,Cedar Grove Beach,31
2024-06-30,Rockaway Beach,3000
2024-08-11,South Beach,2500
2017-08-22,Coney Island Beach,26500
2019-06-01,Wolfe's Pond Beach,500
2020-07-07,Midland Beach,1850
2021-07-22,Orchard Beach,10850
2022-06-12,South Beach,595
2022-08-10,Manhattan Beach,750
2023-06-10,Coney Island Beach,10700
2017-06-04,Rockaway Beach,1900
2017-06-26,Wolfe's Pond Beach,70
2017-07-04,Midland Beach,1450
2019-07-18,Orchard Beach,150
2019-07-28,Coney Island Beach,20500
2019-08-07,Manhattan Beach,315
2020-07-07,South Beach,2400
2021-08-26,Cedar Grove Beach,150
2022-06-04,Wolfe's Pond Beach,255
2024-07-15,Manhattan Beach,475
2018-08-02,South Beach,3450
2018-08-23,Cedar Grove Beach,150
2019-06-09,Midland Beach,6400
2020-06-29,Wolfe's Pond Beach,450
2021-07-02,Coney Island Beach,5300
2021-07-12,Manhattan Beach,250
2022-08-20,Orchard Beach,44500
2023-08-24,Rockaway Beach,6400
2024-06-10,Cedar Grove Beach,230
2017-08-29,Manhattan Beach,1100
2018-06-29,Coney Island Beach,175000
2018-07-25,Wolfe's Pond Beach,65
2020-07-28,Cedar Grove Beach,250
2021-08-05,South Beach,1525
2023-06-17,Manhattan Beach,1750
2017-07-25,Cedar Grove Beach,175
2020-06-13,Manhattan Beach,1600
2021-07-28,Wolfe's Pond Beach,3000
2022-07-03,Cedar Grove Beach,495
2023-07-14,Midland Beach,780
2024-07-28,Orchard Beach,69500
2017-07-01,South Beach,5600
2019-06-30,Cedar Grove Beach,470
2019-08-23,Wolfe's Pond Beach,60
2019-08-31,Midland Beach,5900
2020-06-10,Rockaway Beach,9000
2022-08-03,Coney Island Beach,75500
2024-08-02,South Beach,810
2021-06-04,Cedar Grove Beach,0
2022-06-15,Midland Beach,1175
2023-07-06,Wolfe's Pond Beach,187
2024-07-08,Coney Island Beach,12000
2017-05-30,Orchard Beach,300
2018-06-01,Cedar Grove Beach,17
2018-07-03,Rockaway Beach,15000
2018-08-02,Midland Beach,2600
2019-06-09,South Beach,6000
2020-08-25,Coney Island Beach,25300
2017-06-12,Coney Island Beach,132000
2020-07-28,South Beach,1300
2021-07-27,Midland Beach,6838
2018-06-28,Orchard Beach,3357
2018-07-01,Wolfe's Pond Beach,940
2018-08-23,South Beach,3000
2023-07-11,Manhattan Beach,4200
2023-07-02,Midland Beach,1752
2024-08-31,Rockaway Beach,36500
2019-08-28,Manhattan Beach,250
2022-06-10,Orchard Beach,1250
2022-07-06,South Beach,2075
2024-08-20,Cedar Grove Beach,150
2019-07-27,Orchard Beach,34500
2020-06-08,Wolfe's Pond Beach,125
2020-07-05,Orchard Beach,45132
2021-08-17,Cedar Grove Beach,75
2022-06-12,Manhattan Beach,145
2022-06-03,Midland Beach,425
2023-09-01,Coney Island Beach,32000
2023-08-03,Rockaway Beach,14500
2017-08-21,Orchard Beach,50550
2017-08-24,Wolfe's Pond Beach,110
2018-06-01,South Beach,315
2018-06-12,Rockaway Beach,3700
2018-07-30,Manhattan Beach,1150
2019-08-09,Coney Island Beach,52000
2023-07-09,Orchard Beach,16500
2023-06-12,Wolfe's Pond Beach,17
2023-07-23,Cedar Grove Beach,587
2024-08-23,South Beach,1178
2020-07-04,Manhattan Beach,4000
2021-06-04,South Beach,360
2021-06-15,Rockaway Beach,3150
2021-07-07,Wolfe's Pond Beach,3000
2021-07-14,Coney Island Beach,50725
2021-08-03,Orchard Beach,4000
2017-07-01,Manhattan Beach,10000
2018-07-11,Coney Island Beach,33000
2019-06-30,South Beach,6300
2019-08-02,Wolfe's Pond Beach,165
2022-06-24,Cedar Grove Beach,96
2022-08-25,Midland Beach,360
2023-06-19,Coney Island Beach,93250
2024-07-10,Wolfe's Pond Beach,1250
2024-08-06,Orchard Beach,1350
2017-07-25,South Beach,825
2018-08-11,Cedar Grove Beach,80
2019-06-06,Manhattan Beach,850
2020-06-15,Coney Island Beach,13150
2022-08-05,Wolfe's Pond Beach,150
2022-09-01,Orchard Beach,3200
2024-05-29,Cedar Grove Beach,0
2024-07-30,Midland Beach,650
2020-07-16,Cedar Grove Beach,130
2020-08-08,Rockaway Beach,36000
2020-08-30,Wolfe's Pond Beach,2300
2021-08-17,South Beach,4610
2017-07-13,Cedar Grove Beach,8
2023-09-03,Wolfe's Pond Beach,358
2024-06-21,Rockaway Beach,23000
2024-07-20,Coney Island Beach,57500
2019-06-18,Cedar Grove Beach,45
2019-07-11,Rockaway Beach,17000
2020-09-06,Coney Island Beach,206500
2020-09-07,Midland Beach,3400
2023-07-26,South Beach,1400
2017-08-05,Rockaway Beach,123000
2017-09-03,Coney Island Beach,80000
2022-07-14,Rockaway Beach,17000
2022-08-12,Coney Island Beach,36550
2022-08-22,Manhattan Beach,175
2022-08-13,Midland Beach,2000
2017-06-11,Orchard Beach,86000
2017-06-14,Wolfe's Pond Beach,75
2018-07-21,Midland Beach,12000
2018-08-11,South Beach,1900
2019-05-30,Coney Island Beach,2000
2023-08-15,Rockaway Beach,58000
2024-07-27,Manhattan Beach,2700
2020-06-17,Wolfe's Pond Beach,300
2021-07-24,Manhattan Beach,4100
2022-06-24,South Beach,575
2017-06-21,Coney Island Beach,7500
2017-06-22,Midland Beach,700
2018-07-10,Orchard Beach,10000
2018-07-13,Wolfe's Pond Beach,180
2020-07-19,South Beach,5800
2021-09-06,Rockaway Beach,124100
2022-09-03,Cedar Grove Beach,275
2023-06-29,Manhattan Beach,1000
2024-05-27,Orchard Beach,950
2019-05-28,Midland Beach,450
2019-08-16,Manhattan Beach,1400
2022-06-22,Orchard Beach,250
2024-08-08,Cedar Grove Beach,50
2024-06-01,South Beach,3430
2017-06-17,Cedar Grove Beach,25
2017-07-17,Wolfe's Pond Beach,60
2019-08-08,Orchard Beach,2200
2020-07-17,Orchard Beach,1006
2021-07-26,Coney Island Beach,69250
2024-06-24,Manhattan Beach,250
2017-09-02,Orchard Beach,350
2018-07-23,Coney Island Beach,76300
2020-08-11,Manhattan Beach,960
2021-05-30,Wolfe's Pond Beach,0
2023-07-21,Orchard Beach,600
2023-07-01,Coney Island Beach,89000
2024-06-25,South Beach,905
2017-08-08,Manhattan Beach,1250
2019-06-25,Wolfe's Pond Beach,140
2020-06-27,Coney Island Beach,3850
2021-08-15,Orchard Beach,71000
2022-08-19,Rockaway Beach,38000
2023-05-27,Manhattan Beach,200
2024-06-02,Wolfe's Pond Beach,900
2017-06-10,Midland Beach,3350
2019-07-14,Manhattan Beach,5700
2022-06-02,Coney Island Beach,4850
2022-06-28,Wolfe's Pond Beach,111
2023-09-06,Cedar Grove Beach,0
2024-08-18,Orchard Beach,2450
2017-08-06,South Beach,350
2019-08-10,Midland Beach,3800
2020-07-01,Rockaway Beach,3950
2020-07-23,Wolfe's Pond Beach,45
2021-06-18,Manhattan Beach,1100
2022-07-15,South Beach,775
2024-07-18,Midland Beach,650
2018-06-15,Manhattan Beach,350
2018-07-27,Rockaway Beach,13000
2020-08-09,South Beach,5600
2021-07-15,Midland Beach,3600
2022-08-08,Cedar Grove Beach,217
2023-07-27,Wolfe's Pond Beach,173
2017-09-01,Midland Beach,1150
2019-06-03,Rockaway Beach,2150
2021-08-21,Wolfe's Pond Beach,1700
2022-08-24,Coney Island Beach,68550
2023-06-20,Midland Beach,570
2024-07-13,Cedar Grove Beach,398
2017-06-28,Rockaway Beach,9300
2019-08-21,Coney Island Beach,13800
2020-06-16,Midland Beach,950
2021-06-02,Orchard Beach,1421
2021-07-10,Cedar Grove Beach,100
2021-09-07,South Beach,3142
2022-06-06,Rockaway Beach,4200
2024-08-24,Wolfe's Pond Beach,500
2024-07-29,Coney Island Beach,4525
2017-08-23,Midland Beach,1800
2017-08-27,Cedar Grove Beach,95
2019-05-29,Orchard Beach,525
2022-08-01,Midland Beach,275
2023-07-08,Rockaway Beach,105000
2023-06-15,Cedar Grove Beach,80
2024-09-03,Manhattan Beach,300
2017-06-23,Orchard Beach,300
2017-07-03,Coney Island Beach,705000
2018-06-13,South Beach,600
2019-07-29,Midland Beach,1250
2019-08-02,Cedar Grove Beach,170
2021-08-31,Manhattan Beach,750
2024-09-04,South Beach,610
2018-06-05,Wolfe's Pond Beach,80
2019-06-08,Coney Island Beach,120000
2020-07-26,Orchard Beach,60966
2021-06-16,South Beach,1600
2021-07-03,Midland Beach,750
2021-07-30,Rockaway Beach,15000
2023-08-06,Manhattan Beach,6000
2018-06-30,Midland Beach,9100
2018-07-04,Cedar Grove Beach,350
2018-07-22,Orchard Beach,5300
2019-07-12,South Beach,1925
2019-08-25,Rockaway Beach,50500
2023-06-08,Midland Beach,40
